Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2011-09-08,167.0,169.580002,165.100006,165.25,6027200,143.47163600000002,IBM
2011-09-09,164.570007,165.190002,160.809998,161.369995,6743900,140.102979,IBM
2011-09-12,160.03999299999998,162.440002,158.759995,162.419998,5247200,141.014602,IBM
2011-09-13,163.639999,163.919998,161.53999299999998,163.429993,4723800,141.89148899999998,IBM
2011-09-14,164.009995,169.66000400000001,161.990005,167.240005,6980700,145.199378,IBM
2011-09-15,168.639999,170.16000400000001,167.229996,170.08999599999999,5464400,147.673768,IBM
2011-09-16,171.330002,172.990005,169.740005,172.990005,11048100,150.191584,IBM
2011-09-19,169.5,173.869995,169.429993,173.130005,4755600,150.313132,IBM
2011-09-20,173.570007,177.429993,172.699997,174.720001,6209600,151.69358200000002,IBM
2011-09-21,175.0,177.669998,172.619995,173.020004,7043100,150.21762900000002,IBM
2011-09-22,168.330002,169.970001,166.5,168.619995,8195600,146.397499,IBM
2011-09-23,166.990005,169.53999299999998,165.759995,169.33999599999999,5586600,147.022611,IBM
2011-09-26,170.96000700000002,174.699997,169.860001,174.509995,6745700,151.511253,IBM
2011-09-27,176.820007,179.619995,176.429993,177.71000700000002,7638800,154.289534,IBM
2011-09-28,177.970001,180.75,177.080002,177.550003,7732200,154.15061699999998,IBM
2011-09-29,179.690002,180.91000400000001,175.529999,179.169998,6944300,155.557113,IBM
2011-09-30,176.009995,178.270004,174.75,174.869995,7807400,151.823809,IBM
2011-10-03,174.360001,177.919998,173.03999299999998,173.28999299999998,9042600,150.45203600000002,IBM
2011-10-04,171.53999299999998,175.070007,168.880005,174.740005,9200000,151.71095,IBM
2011-10-05,174.570007,177.300003,172.679993,176.850006,5851700,153.542873,IBM
2011-10-06,176.809998,181.990005,175.66000400000001,181.690002,7180900,157.745004,IBM
2011-10-07,182.320007,183.720001,181.639999,182.389999,6842600,158.352748,IBM
2011-10-10,183.0,186.630005,182.899994,186.619995,5784800,162.025271,IBM
2011-10-11,184.58999599999999,186.0,184.110001,185.0,5330500,160.618776,IBM
2011-10-12,186.080002,188.0,185.649994,186.119995,5338200,161.59116699999998,IBM
2011-10-13,184.970001,187.5,184.5,186.820007,4399200,162.198924,IBM
2011-10-14,188.190002,190.529999,187.729996,190.529999,5368200,165.419974,IBM
2011-10-17,189.71000700000002,190.16000400000001,185.899994,186.58999599999999,8790300,161.999226,IBM
2011-10-18,178.0,179.380005,176.25,178.899994,15729400,155.322692,IBM
2011-10-19,179.679993,179.809998,177.009995,177.389999,6708300,154.0117,IBM
2011-10-20,178.130005,179.240005,176.169998,177.25,7513800,153.890152,IBM
2011-10-21,179.110001,181.669998,178.75,181.630005,8054200,157.692914,IBM
2011-10-24,181.509995,183.389999,180.619995,182.25,5890600,158.2312,IBM
2011-10-25,181.66000400000001,182.970001,180.009995,180.360001,5373100,156.590284,IBM
2011-10-26,181.740005,182.279999,179.029999,181.970001,5387700,157.988102,IBM
2011-10-27,184.990005,187.0,183.179993,185.880005,7057800,161.382805,IBM
2011-10-28,185.570007,188.070007,185.279999,187.449997,5009800,162.745887,IBM
2011-10-31,185.58999599999999,186.91000400000001,184.630005,184.630005,4710000,160.297543,IBM
2011-11-01,181.550003,183.259995,180.740005,181.350006,5881200,157.449816,IBM
2011-11-02,184.0,185.25,183.029999,183.919998,4136600,159.681108,IBM
2011-11-03,185.130005,187.779999,184.020004,187.300003,4953500,162.61566100000002,IBM
2011-11-04,186.270004,187.139999,184.740005,186.380005,3237600,161.81691,IBM
2011-11-07,186.220001,187.729996,184.75,187.320007,3530800,162.633029,IBM
2011-11-08,187.479996,187.880005,185.509995,187.25,4330600,163.225778,IBM
2011-11-09,184.199997,185.240005,181.16000400000001,182.240005,5494800,158.858567,IBM
2011-11-10,183.580002,184.770004,181.869995,183.350006,3881600,159.826155,IBM
2011-11-11,185.270004,187.830002,185.139999,187.380005,3665300,163.339103,IBM
2011-11-14,189.169998,189.83999599999999,186.850006,187.350006,6038600,163.312954,IBM
2011-11-15,187.490005,189.970001,185.639999,188.75,4585300,164.533328,IBM
2011-11-16,187.820007,189.899994,186.300003,186.619995,4616800,162.676603,IBM
